Line Number,From Bus,To Bus,Distance (mi),voltage (kV),reactance (pu),susceptance (pu),Capacity (MW)
1,1,2,1.84,115,0.061892778,-16.15697391,175
2,1,3,2.06,115,0.060678047,-16.48042496,175
3,1,4,3.82,115,0.052018739,-19.22384179,175
4,1,5,12.6,69,0.036110208,-27.69300025,175
5,2,24,17.98,115,0.046395045,-21.55402564,500
6,3,8,5.66,115,0.04497144,-22.23633506,175
7,4,5,6.08,115,0.04364784,-22.9106411,175
8,8,9,1.82,115,0.062004665,-16.12781868,175
9,8,10,1.75,115,0.062398183,-16.02610769,175
10,8,11,3.4,69,0.053914259,-18.54796902,175
11,8,5,2.227,115,0.059775582,-16.72923898,175
12,5,6,1.22,115,0.065474116,-15.27321112,175
13,6,14,4.94,115,0.04748614,-21.0587765,175
14,5,7,0.854,69,0.067697565,-14.77158009,175
15,5,14,5.9,115,0.04420221,-22.6233033,400
16,7,11,3.125,69,0.055213377,-18.11155295,400
17,11,12,3.08,69,0.055430333,-18.04066378,400
18,11,13,5.21,115,0.046506658,-21.50229774,500
19,12,14,2.77,69,0.056958351,-17.55668812,500
20,14,13,3.91,115,0.051626474,-19.36990716,500
21,14,15,2.49,115,0.058388691,-17.12660415,220
22,15,18,5.86,115,0.044328026,-22.55909144,220
23,14,16,7.883,115,0.039151419,-25.54185818,400
24,16,17,6.13,115,0.043497273,-22.98994695,400
25,17,18,12.72,115,0.036188819,-27.63284446,400
26,13,19,3.01,115,0.055770265,-17.93070186,175
27,13,18,6.64,115,0.042046281,-23.78331636,175
28,18,20,5.86,345,0.044328026,-22.55909144,175
29,19,20,4.52,115,0.049097046,-20.36782419,400
30,19,21,2.4,115,0.058858562,-16.98988161,400
31,21,20,2,115,0.061006422,-16.39171682,400
32,21,24,21.88,115,0.061290588,-16.3157187,500
33,20,24,18.46,345,0.047928166,-20.86455788,500
34,24,10,15.34,115,0.039683678,-25.19927711,500
35,24,22,7.16,115,0.040725098,-24.55488267,500
36,24,23,5.7,115,0.044840845,-22.30109633,500
37,23,9,7.24,69,0.040535948,-24.66946141,500
38,22,9,8.39,115,0.038228816,-26.15827813,500
39,25,1,383.25,345,0.537225,-1.861417469,500
40,25,24,386.06,345,0.540878,-1.848845766,500
