Hour ,Fort Bliss,Montana Solar Facility,Newman Solar
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0.011345302,0.017017953,0.059562832
10,0.128687758,0.193031641,0.67561075
11,0.432303688,0.648455563,2.2695945
12,0.8409535,1.26143025,4.415006
13,0.69542525,1.043137938,3.65098275
14,1.3541245,2.031186625,7.1091535
15,1.245373875,1.868060875,6.538213
16,1.034013125,1.55101975,5.428569
17,0.704416813,1.05662525,3.69818825
18,0.277796844,0.41669525,1.458433375
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
